tileid,rundate
80,"2021-04-29 20:27:33+00:00"
82,"2021-04-06 00:39:37+00:00"
83,"2021-04-08 17:17:36+00:00"
84,"2021-04-10 21:28:37+00:00"
85,"2021-04-11 21:29:46+00:00"
86,"2021-04-13 23:27:13+00:00"
87,"2021-04-17 20:00:38+00:00"
88,"2021-04-18 21:13:37+00:00"
89,"2021-04-29 00:00:00+00:00"
90,"2021-05-02 21:09:30+00:00"
91,"2021-05-03 20:56:22+00:00"
92,"2021-05-05 19:09:44+00:00"
93,"2021-04-06 00:39:37+00:00"
94,"2021-04-07 22:48:50+00:00"
95,"2021-04-08 17:17:38+00:00"
96,"2021-04-17 20:00:39+00:00"
97,"2021-04-18 21:13:37+00:00"
98,"2021-04-22 18:55:39+00:00"
99,"2021-05-01 20:31:51+00:00"
100,"2021-05-03 20:56:22+00:00"
101,"2021-05-06 21:45:36+00:00"
102,"2021-05-08 21:24:25+00:00"
103,"2021-05-11 00:57:51+00:00"
104,"2021-04-06 00:39:38+00:00"
105,"2021-04-12 22:53:58+00:00"
106,"2021-04-15 23:07:33+00:00"
107,"2021-04-16 19:58:33+00:00"
108,"2021-04-29 20:27:33+00:00"
109,"2021-04-06 00:39:38+00:00"
110,"2021-04-07 22:48:50+00:00"
111,"2021-04-08 17:17:37+00:00"
112,"2021-04-10 21:28:37+00:00"
113,"2021-04-11 21:29:47+00:00"
114,"2021-04-13 23:27:14+00:00"
115,"2021-04-17 20:00:39+00:00"
116,"2021-04-18 21:13:37+00:00"
117,"2021-04-20 00:30:45+00:00"
118,"2021-05-01 20:31:51+00:00"
119,"2021-05-04 20:33:01+00:00"
120,"2021-04-06 00:39:37+00:00"
121,"2021-04-08 17:17:38+00:00"
122,"2021-04-17 20:00:39+00:00"
123,"2021-04-18 21:13:37+00:00"
124,"2021-04-20 00:30:45+00:00"
125,"2021-05-01 20:31:51+00:00"
126,"2021-05-05 19:09:44+00:00"
127,"2021-05-06 21:45:37+00:00"
128,"2021-05-07 19:16:32+00:00"
129,"2021-05-08 21:24:25+00:00"
130,"2021-05-29 23:32:41+00:00"
131,"2021-04-06 00:39:37+00:00"
132,"2021-04-07 22:48:50+00:00"
133,"2021-04-15 23:07:33+00:00"
134,"2021-04-16 19:58:33+00:00"
136,"2021-04-06 00:39:38+00:00"
137,"2021-04-07 22:48:49+00:00"
138,"2021-04-08 17:17:38+00:00"
139,"2021-04-10 21:28:37+00:00"
140,"2021-04-11 21:29:44+00:00"
141,"2021-04-13 23:27:14+00:00"
142,"2021-04-17 20:00:39+00:00"
143,"2021-04-18 21:13:37+00:00"
144,"2021-04-20 19:01:46+00:00"
145,"2021-05-03 20:56:22+00:00"
146,"2021-05-04 20:33:01+00:00"
147,"2021-04-06 00:39:37+00:00"
148,"2021-04-07 22:48:49+00:00"
149,"2021-04-08 17:17:38+00:00"
150,"2021-04-17 20:00:39+00:00"
151,"2021-04-20 00:30:45+00:00"
152,"2021-05-03 20:56:22+00:00"
153,"2021-05-04 20:33:01+00:00"
154,"2021-05-05 19:09:44+00:00"
155,"2021-05-06 21:45:37+00:00"
156,"2021-05-08 21:24:25+00:00"
157,"2021-05-29 23:32:41+00:00"
158,"2021-04-06 00:39:38+00:00"
159,"2021-04-07 22:48:49+00:00"
163,"2021-04-06 00:39:38+00:00"
164,"2021-04-07 22:48:49+00:00"
165,"2021-04-08 17:17:36+00:00"
166,"2021-04-10 21:28:37+00:00"
167,"2021-04-11 21:29:48+00:00"
168,"2021-04-13 23:27:14+00:00"
169,"2021-04-17 20:00:38+00:00"
170,"2021-04-20 19:01:46+00:00"
171,"2021-04-29 00:00:00+00:00"
172,"2021-05-07 19:16:32+00:00"
173,"2021-05-08 19:24:59+00:00"
174,"2021-04-06 00:39:38+00:00"
175,"2021-04-07 22:48:50+00:00"
176,"2021-04-08 17:17:38+00:00"
177,"2021-04-15 23:07:33+00:00"
178,"2021-04-17 20:00:38+00:00"
179,"2021-04-22 18:55:39+00:00"
180,"2021-04-29 20:27:33+00:00"
181,"2021-05-02 21:09:30+00:00"
182,"2021-05-06 21:45:37+00:00"
183,"2021-05-08 21:24:25+00:00"
184,"2021-05-29 23:32:41+00:00"
185,"2021-04-06 00:39:37+00:00"
186,"2021-04-12 22:53:58+00:00"
187,"2021-04-15 23:07:33+00:00"
188,"2021-04-16 19:58:33+00:00"
190,"2021-04-06 00:39:37+00:00"
191,"2021-04-07 22:48:50+00:00"
192,"2021-04-09 17:50:20+00:00"
193,"2021-04-10 21:28:37+00:00"
194,"2021-04-11 21:29:47+00:00"
195,"2021-04-13 23:27:14+00:00"
196,"2021-04-17 20:00:38+00:00"
197,"2021-04-20 19:01:46+00:00"
198,"2021-04-22 18:55:39+00:00"
199,"2021-05-01 20:31:51+00:00"
200,"2021-05-06 21:45:35+00:00"
201,"2021-04-06 00:39:38+00:00"
202,"2021-04-07 22:48:50+00:00"
203,"2021-04-11 21:29:47+00:00"
204,"2021-04-13 23:27:14+00:00"
205,"2021-04-14 22:12:20+00:00"
206,"2021-04-15 23:07:33+00:00"
207,"2021-04-17 20:00:39+00:00"
208,"2021-04-20 00:30:44+00:00"
209,"2021-04-22 18:55:39+00:00"
210,"2021-04-29 20:27:33+00:00"
211,"2021-05-01 20:31:51+00:00"
212,"2021-04-06 00:39:37+00:00"
213,"2021-04-14 22:12:20+00:00"
214,"2021-04-15 23:07:33+00:00"
215,"2021-04-16 19:58:33+00:00"
216,"2021-04-29 20:27:33+00:00"
217,"2021-04-06 00:39:38+00:00"
218,"2021-04-07 22:48:49+00:00"
219,"2021-04-08 17:17:38+00:00"
220,"2021-04-10 21:28:37+00:00"
221,"2021-04-11 21:29:45+00:00"
222,"2021-04-13 23:27:14+00:00"
223,"2021-04-17 20:00:38+00:00"
224,"2021-04-18 21:13:37+00:00"
225,"2021-04-20 19:01:46+00:00"
226,"2021-05-04 20:33:01+00:00"
227,"2021-05-06 21:45:37+00:00"
228,"2021-04-06 00:39:38+00:00"
229,"2021-04-17 20:00:38+00:00"
230,"2021-04-20 00:30:45+00:00"
231,"2021-04-22 18:55:39+00:00"
232,"2021-05-01 20:31:51+00:00"
233,"2021-05-04 20:33:01+00:00"
234,"2021-05-05 19:09:44+00:00"
235,"2021-05-06 21:45:37+00:00"
236,"2021-05-07 19:16:32+00:00"
237,"2021-05-08 21:24:25+00:00"
238,"2021-05-29 23:32:41+00:00"
239,"2021-04-06 00:39:37+00:00"
244,"2021-04-06 00:39:38+00:00"
245,"2021-04-07 22:48:50+00:00"
246,"2021-04-08 17:17:36+00:00"
247,"2021-04-09 17:50:20+00:00"
248,"2021-04-10 21:28:37+00:00"
249,"2021-04-11 21:29:47+00:00"
250,"2021-04-14 22:12:20+00:00"
251,"2021-04-17 20:00:39+00:00"
252,"2021-04-20 00:30:45+00:00"
253,"2021-04-20 19:01:46+00:00"
254,"2021-05-05 19:09:44+00:00"
255,"2021-04-06 00:39:37+00:00"
256,"2021-04-08 17:17:38+00:00"
257,"2021-04-11 21:29:47+00:00"
258,"2021-04-14 22:12:20+00:00"
259,"2021-04-15 23:07:33+00:00"
260,"2021-04-17 20:00:38+00:00"
261,"2021-04-29 00:00:00+00:00"
262,"2021-05-01 20:31:51+00:00"
263,"2021-05-04 20:33:01+00:00"
264,"2021-05-08 21:24:25+00:00"
265,"2021-05-29 23:32:41+00:00"
266,"2021-04-06 00:39:38+00:00"
271,"2021-04-06 00:39:38+00:00"
272,"2021-04-07 22:48:50+00:00"
273,"2021-04-08 17:17:39+00:00"
274,"2021-04-09 17:50:20+00:00"
275,"2021-04-10 21:28:37+00:00"
276,"2021-04-11 21:29:47+00:00"
277,"2021-04-13 23:27:14+00:00"
278,"2021-04-14 22:12:20+00:00"
279,"2021-04-17 20:00:39+00:00"
280,"2021-04-18 21:13:37+00:00"
281,"2021-05-03 20:56:22+00:00"
282,"2021-04-06 00:42:40+00:00"
283,"2021-04-11 21:29:43+00:00"
284,"2021-04-14 22:12:20+00:00"
285,"2021-04-15 23:07:33+00:00"
286,"2021-04-17 20:00:39+00:00"
287,"2021-04-22 18:55:39+00:00"
288,"2021-05-01 20:31:51+00:00"
289,"2021-05-03 20:56:22+00:00"
290,"2021-05-06 21:45:37+00:00"
291,"2021-05-08 21:24:25+00:00"
292,"2021-05-29 23:32:41+00:00"
293,"2021-04-06 00:42:40+00:00"
298,"2021-04-06 00:42:40+00:00"
299,"2021-04-07 22:48:50+00:00"
300,"2021-04-08 17:17:36+00:00"
301,"2021-04-09 17:50:20+00:00"
302,"2021-04-10 21:28:37+00:00"
303,"2021-04-11 21:29:44+00:00"
304,"2021-04-13 23:27:14+00:00"
305,"2021-04-14 22:12:20+00:00"
306,"2021-04-17 20:00:39+00:00"
307,"2021-04-18 21:13:37+00:00"
308,"2021-04-20 19:01:46+00:00"
309,"2021-04-06 00:42:40+00:00"
310,"2021-04-08 17:17:39+00:00"
311,"2021-04-11 21:29:46+00:00"
312,"2021-04-15 23:07:33+00:00"
313,"2021-04-17 20:00:38+00:00"
314,"2021-04-20 00:30:44+00:00"
315,"2021-04-22 18:55:39+00:00"
316,"2021-04-29 20:27:33+00:00"
317,"2021-04-29 00:00:00+00:00"
318,"2021-05-01 20:31:51+00:00"
319,"2021-05-02 21:09:30+00:00"
320,"2021-04-06 00:42:40+00:00"
321,"2021-04-12 22:53:58+00:00"
322,"2021-04-29 20:27:33+00:00"
325,"2021-04-06 00:42:40+00:00"
326,"2021-04-07 22:48:50+00:00"
327,"2021-04-08 17:17:37+00:00"
328,"2021-04-09 17:50:20+00:00"
329,"2021-04-10 21:28:37+00:00"
330,"2021-04-11 21:29:44+00:00"
331,"2021-04-13 23:27:14+00:00"
332,"2021-04-14 22:12:20+00:00"
333,"2021-04-17 20:00:38+00:00"
334,"2021-04-18 21:13:37+00:00"
335,"2021-04-20 19:01:46+00:00"
336,"2021-04-06 00:42:40+00:00"
337,"2021-04-08 17:17:38+00:00"
338,"2021-04-11 21:29:45+00:00"
339,"2021-04-15 23:07:33+00:00"
340,"2021-04-17 20:00:38+00:00"
341,"2021-04-20 00:30:44+00:00"
342,"2021-04-29 20:27:33+00:00"
343,"2021-04-29 00:00:00+00:00"
344,"2021-05-01 20:31:51+00:00"
345,"2021-05-02 21:09:30+00:00"
346,"2021-05-29 23:32:41+00:00"
347,"2021-04-06 00:42:40+00:00"
348,"2021-04-16 19:58:33+00:00"
352,"2021-04-06 00:42:41+00:00"
353,"2021-04-07 22:48:50+00:00"
354,"2021-04-08 17:17:39+00:00"
355,"2021-04-09 17:50:20+00:00"
356,"2021-04-10 21:28:37+00:00"
357,"2021-04-11 21:29:45+00:00"
358,"2021-04-12 22:53:58+00:00"
359,"2021-04-13 23:27:14+00:00"
360,"2021-04-14 22:12:20+00:00"
361,"2021-04-17 20:00:39+00:00"
362,"2021-04-18 21:13:37+00:00"
363,"2021-04-06 00:42:41+00:00"
364,"2021-04-10 21:28:37+00:00"
365,"2021-04-11 21:29:47+00:00"
366,"2021-04-12 22:53:58+00:00"
367,"2021-04-17 20:00:39+00:00"
368,"2021-04-20 00:30:45+00:00"
369,"2021-04-20 19:01:46+00:00"
370,"2021-04-29 20:27:33+00:00"
371,"2021-04-29 00:00:00+00:00"
372,"2021-05-01 20:31:51+00:00"
373,"2021-05-29 23:32:41+00:00"
374,"2021-04-06 00:42:40+00:00"
375,"2021-04-22 18:55:39+00:00"
376,"2021-04-29 20:27:33+00:00"
379,"2021-04-06 00:42:41+00:00"
380,"2021-04-07 22:48:49+00:00"
381,"2021-04-08 17:17:38+00:00"
382,"2021-04-09 17:50:20+00:00"
383,"2021-04-10 21:28:37+00:00"
384,"2021-04-11 21:29:47+00:00"
385,"2021-04-12 22:53:58+00:00"
386,"2021-04-13 23:27:14+00:00"
387,"2021-04-14 22:12:20+00:00"
388,"2021-04-17 20:00:39+00:00"
389,"2021-04-18 21:13:37+00:00"
390,"2021-04-06 00:42:41+00:00"
391,"2021-04-10 21:28:37+00:00"
392,"2021-04-11 21:29:45+00:00"
393,"2021-04-17 20:00:38+00:00"
394,"2021-04-20 19:01:46+00:00"
395,"2021-04-29 00:00:00+00:00"
396,"2021-05-01 20:31:51+00:00"
397,"2021-05-04 20:33:01+00:00"
398,"2021-05-05 19:09:44+00:00"
399,"2021-05-08 21:24:25+00:00"
400,"2021-05-29 23:32:41+00:00"
401,"2021-04-06 00:42:41+00:00"
402,"2021-04-29 20:27:33+00:00"
406,"2021-04-06 00:42:41+00:00"
407,"2021-04-07 22:48:49+00:00"
408,"2021-04-08 17:17:38+00:00"
409,"2021-04-09 17:50:20+00:00"
410,"2021-04-10 21:28:37+00:00"
411,"2021-04-11 21:29:47+00:00"
412,"2021-04-12 22:53:58+00:00"
413,"2021-04-13 23:27:13+00:00"
414,"2021-04-14 22:12:20+00:00"
415,"2021-04-17 20:00:39+00:00"
416,"2021-04-18 21:13:37+00:00"
417,"2021-04-06 00:42:41+00:00"
418,"2021-04-10 21:28:37+00:00"
419,"2021-04-11 21:29:47+00:00"
420,"2021-04-15 23:07:33+00:00"
421,"2021-04-17 20:00:39+00:00"
