pos_id,petal_id,device_loc,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,calib_note,fiber_intact,device_classified_nonfunctional,petal_loc,location
M03456,2,50,69,2021-04-03 23:44:42.021628+00:00,can11,2.67400362848981,2.60002123925459,121.872080534772,41.4066385684796,176.167317268798,19.4700517988212,393.176808621202,185.316102174968,1.0,0.64,769.0,776.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.64, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7050
M03461,8,267,63,2021-04-03 23:44:42.016878+00:00,can23,3.10604463834039,2.94048168882887,267.771116544159,95.5190530897412,156.91829524561,33.445735359736,395.837628470195,193.146557177924,1.0,0.322,99.0,103.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'CLASSIFIED_AS_RETRACTED': True}",True,False,4,4267
M03464,2,190,76,2021-04-04 04:45:14.157337+00:00,can13,3.12588482412707,3.13674443842501,200.049490844347,122.752857236266,91.2980580573691,24.6666480296871,393.366018609175,190.355695955973,1.0,0.55,722.0,725.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,restored keepouts from cache file: /n/home/msdos/fp_temp_files/keepouts_cache_petal_id_2.ecsv,True,False,7,7190
M03469,3,351,206,2021-04-03 23:44:42.023011+00:00,can22,2.9424644640796,3.04011457126561,262.746779769863,176.909505963821,-139.806527676207,-1.65624118705958,391.86690505839,191.877419912448,0.298333333,1.0,142.0,143.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.29833333300000003, 'CLASSIFIED_AS_RETRACTED': True}",True,False,3,3351
M03476,5,129,46,2021-04-03 23:44:42.005009+00:00,can13,2.97866719391221,3.11488246317877,200.052802815414,50.436888989099,58.9653150916694,2.02078457555655,391.260145693266,186.222477069432,0.532333333,1.0,92.0,96.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.532333333, 'CLASSIFIED_AS_RETRACTED': True}",True,False,1,1129
M03478,3,470,211,2021-04-03 23:44:42.023011+00:00,can16,2.9651679926422,3.01233892376011,362.457894066212,113.507275362743,-128.032486896122,-1.22001277880725,390.893262395061,190.766127759786,0.371,1.0,158.0,159.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.371, 'CLASSIFIED_AS_RETRACTED': True}",True,False,3,3470
M03503,2,68,78,2021-04-03 23:44:42.021628+00:00,can11,2.88081767646453,3.07885155844274,132.24244777395,59.5752544302381,155.755597435146,-5.40602709867058,391.412599556726,190.018024780204,1.0,0.53,771.0,775.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.53}",True,False,7,7068
M03508,2,378,60,2021-04-03 23:44:42.021628+00:00,can17,2.94633015981818,3.06294356400975,356.847906894023,50.3994479150474,178.543393994855,6.17071677404357,390.839964985111,189.860951082004,0.295,1.0,759.0,762.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.295, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7378
M03510,2,429,61,2021-04-03 23:44:42.021628+00:00,can14,3.06033822631807,3.1292862936067,335.996001946087,122.55596260777,151.183799674193,1.93471220141453,392.37725727777,190.672513083222,0.330333333,1.0,762.0,765.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.330333333, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7429
M03513,5,76,78,2021-04-03 23:44:42.005009+00:00,can11,2.87427269280886,2.98468583436429,147.965928979535,50.558946072913,47.235476557724,2.17307086768476,389.894455789807,188.459318930845,0.258,1.0,101.0,104.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.258, 'CLASSIFIED_AS_RETRACTED': True}",True,False,1,1076
M03515,7,56,78,2021-04-03 23:44:42.030318+00:00,can11,3.04929394742276,3.06125149565633,142.744972954948,23.4346684926998,-30.2301299756793,3.24191807278866,391.972095859839,190.436415080563,1.0,0.67,120.0,122.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.67}",True,False,8,8056
M03519,3,296,115,2021-04-03 23:44:42.023011+00:00,can15,3.0,3.0,325.341367221659,32.2782219660154,175.163577174342,11.1456244231418,393.260895405952,194.213665718481,0.574,1.0,109.0,112.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.574}",True,False,3,3296
M03520,7,264,66,2021-04-03 23:44:42.030318+00:00,can23,2.90542276144044,2.97367002832041,283.438601957494,68.4205862519048,-138.96674413071,33.1932438432882,392.728865874294,190.018381584821,1.0,0.432,112.0,116.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'CLASSIFIED_AS_RETRACTED': True}",True,False,8,8264
M03528,2,445,61,2021-04-03 23:44:42.021628+00:00,can17,3.17176897490928,3.2610084795211,378.107407117035,68.3818369373153,96.7115313466317,2.29538679335852,392.827664873259,188.707423399004,0.821666667,1.0,759.0,762.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.821666667, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7445
M03538,5,90,46,2021-04-03 23:44:42.005009+00:00,can13,3.1012246957186,3.01167774654125,194.649657669585,5.32803587274739,-118.468293482686,-5.72156307780637,392.687805140752,193.053499730509,0.261333333,1.0,87.0,90.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.261333333, 'CLASSIFIED_AS_RETRACTED': True}",True,False,1,1090
M03545,2,493,63,2021-04-03 23:44:42.021628+00:00,can14,3.0,3.04119802439026,346.860335869162,158.722611474562,142.624850016192,26.9023781421886,393.126304042467,191.518360004232,1.0,0.69,771.0,775.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.69}",True,False,7,7493
M03555,3,423,213,2021-04-03 23:44:42.023011+00:00,can17,3.04581653172189,3.11835002109073,367.483583073746,68.3628590938612,74.6365033379659,-1.366077289477,393.615335058103,188.834462948316,0.447333333,1.0,151.0,153.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.44733333299999994, 'CLASSIFIED_AS_RETRACTED': True}",True,False,3,3423
M03556,2,123,62,2021-04-03 23:44:42.021628+00:00,can13,2.91633916135018,2.96448271394871,158.303475248429,104.796394335168,160.563584257829,1.02830633126723,391.752955196799,190.515437596016,0.533666667,1.0,722.0,725.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.533666667, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7123
