petal_id,device_loc,pos_id,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,fiber_intact,device_classified_nonfunctional,calib_note,zeno_motor_p,zeno_motor_t,sz_cw_p,sz_ccw_p,sz_cw_t,sz_ccw_t,location,offset_x_cs5,offset_y_cs5
0,63,M06837,40,2024-05-03 17:36:54.723099+00:00,can33,2.90685693015342,3.01026549233963,158.376896712607,14.2100093872896,-178.745948765898,0.576477896660309,393.020572912415,189.038051909228,1.0,1.0,91.0,93.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,True,,,,,,,,3063,158.34641455119697,14.207274444196432
0,378,M08262,25,2024-05-03 17:36:54.723099+00:00,can48,3.0,3.0,356.907683544334,50.3397885709428,0.0,0.0,392.451277039881,194.801739811514,1.0,1.0,292.0,308.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,lbl,True,True,,,,,,,,3378,356.52151344112195,50.28532148535062
0,456,M06376,40,2024-05-03 17:36:54.723099+00:00,can46,3.0,3.0,320.540229135207,167.753745111069,0.0,0.0,393.770916654912,188.11741790505,1.0,1.0,153.0,155.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,lbl,True,True,,,,,,,,3456,320.19064041167,167.57078892556885
0,392,M06108,39,2024-05-03 17:36:54.723099+00:00,can42,3.00868880979534,3.07156220867632,283.709591279365,176.75759702331,123.410736243296,-0.0409767033754269,393.94368809009,189.341932452342,1.0,1.0,188.0,190.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,True,,,,,,,,3392,283.4475029740829,176.59430998447334
0,307,M06109,38,2024-05-03 17:36:54.723099+00:00,can41,3.0254718955784,3.0495893247613,267.862009679458,131.64711951496,-82.4413031599398,0.353549456342125,392.591707611327,188.247746997264,1.0,1.0,187.0,189.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,True,,,,,,,,3307,267.6658106929219,131.55069288297835
0,167,M07827,40,2024-05-03 17:36:54.723099+00:00,can36,2.98679353975893,3.12993627931025,236.490214473835,41.3268545684228,14.4458472741226,1.71481215726345,395.371066621483,195.810393665042,1.0,1.0,103.0,106.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,True,,,,,,,,3167,236.37966774389932,41.307536438743604
0,147,M02123,38,2024-05-03 17:36:54.723099+00:00,can35,3.01124340086129,3.051475030411,179.180963972056,104.73852239281,78.592019604845,2.35483079638434,393.416064428386,189.019527821176,1.0,1.0,183.0,188.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,True,,,,,,,,3147,179.1194657010664,104.70257416544047
0,347,M06506,41,2024-05-16 21:50:53.397085+00:00,can41,2.95584733994066,3.08780303405526,283.552178919031,140.635398869132,28.6241826611689,2.02094718358385,391.128723954268,187.147490691123,1.0,1.0,178.0,183.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,True,dead in theta,,,,,,,3347,283.31803070348485,140.51926670674354
0,269,M06364,36,2024-06-25 21:56:30.791340+00:00,can41,3.04438482319678,3.05736824982823,257.370023497018,113.653536277549,-90.8957211969802,2.79701696207724,393.648184405487,189.204471992723,1.0,1.0,69.0,69.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3269,257.2029418125353,113.57975369778056
0,367,M07772,40,2024-06-25 21:56:30.791340+00:00,can41,2.97926197750663,3.22554072577651,294.040468198222,140.640865310342,35.1142423406031,2.91204315938856,393.502344673447,194.123865560223,1.0,1.0,152.0,155.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3367,293.7825917650361,140.5175218640176
