busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,1761,"[-1632, 10121, -10121]","[3053, -10121, 10121]","[0.33922222222222226, 1.1245555555555555, 1.1245555555555555]",3,M01761,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5883333333333334,False
can10,1097,"[0, 0, -806, 10121, -10121]","[0, 0, 1050, -10121, 10121]","[0, 0.0, 0.11666666666666667, 1.1245555555555555, 1.1245555555555555]",5,M01097,"[2368, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.733777777777778,False
can10,7696,"[2912, 10121, -10121]","[530, -10121, 10121]","[0.32355555555555554, 1.1245555555555555, 1.1245555555555555]",3,M07696,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5726666666666667,False
can10,7686,"[1883, 10121, -10121]","[1043, -10121, 10121]","[0.20922222222222223, 1.1245555555555555, 1.1245555555555555]",3,M07686,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.458333333333333,False
can10,1959,"[0, 0, -1419, 10121, -10121]","[0, 0, -648, -10121, 10121]","[0, 0.0, 0.15766666666666668, 1.1245555555555555, 1.1245555555555555]",5,M01959,"[2411, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.817666666666666,False
can10,1096,"[0, 0, 2822, 10121, -10121]","[0, 0, 885, -10121, 10121]","[0, 0.0, 0.31355555555555553, 1.1245555555555555, 1.1245555555555555]",5,M01096,"[2573, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.1353333333333335,False
can10,1669,"[0, 0, -2278, 10121, -10121]","[0, 0, 2169, -10121, 10121]","[0, 0.0, 0.2531111111111111, 1.1245555555555555, 1.1245555555555555]",5,M01669,"[2503, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.005,False
can10,4233,"[0, 0, 1640, 10121, -10121]","[0, 0, 2083, -10121, 10121]","[0, 0.0, 0.23144444444444445, 1.1245555555555555, 1.1245555555555555]",5,M04233,"[2657, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.137333333333332,False
can10,7694,"[-1000, 10121, -10121]","[-1488, -10121, 10121]","[0.16533333333333333, 1.1245555555555555, 1.1245555555555555]",3,M07694,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4144444444444444,False
can10,7711,"[0, 0, -823, 10121, -10121]","[0, 0, -440, -10121, 10121]","[0, 0.0, 0.09144444444444445, 1.1245555555555555, 1.1245555555555555]",5,M07711,"[2342, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.682333333333333,False
can10,1483,"[1859, 10121, -10121]","[1365, -10121, 10121]","[0.20655555555555558, 1.1245555555555555, 1.1245555555555555]",3,M01483,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4556666666666667,False
can10,1967,"[0, 0, -2696, 10121, -10121]","[0, 0, 401, -10121, 10121]","[0, 0.0, 0.2995555555555556, 1.1245555555555555, 1.1245555555555555]",5,M01967,"[2588, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.1370000000000005,False
can10,7712,"[0, 0, -335, 10121, -10121]","[0, 0, 2253, -10121, 10121]","[0, 0.0, 0.25033333333333335, 1.1245555555555555, 1.1245555555555555]",5,M07712,"[2638, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.137333333333333,False
can10,7848,"[0, 0, -1974, 10121, -10121]","[0, 0, -889, -10121, 10121]","[0, 0.0, 0.21933333333333335, 1.1245555555555555, 1.1245555555555555]",5,M07848,"[2469, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.937666666666667,False
can11,7920,"[-237, 10121, -10121]","[834, -10121, 10121]","[0.09266666666666667, 1.1245555555555555, 1.1245555555555555]",3,M07920,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.3417777777777777,False
can11,7930,"[0, 0, -1322, 10121, -10121]","[0, 0, -997, -10121, 10121]","[0, 0.0, 0.1468888888888889, 1.1245555555555555, 1.1245555555555555]",5,M07930,"[2397, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.793444444444445,False
can10,7720,"[0, 0, 666, 10121, -10121]","[0, 0, -1791, -10121, 10121]","[0, 0.0, 0.19900000000000004, 1.1245555555555555, 1.1245555555555555]",5,M07720,"[2688, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.135888888888889,False
can10,7687,"[2361, 10121, -10121]","[-2373, -10121, 10121]","[0.26366666666666666, 1.1245555555555555, 1.1245555555555555]",3,M07687,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.512777777777778,False
can10,7431,"[-1981, 10121, -10121]","[-71, -10121, 10121]","[0.22011111111111115, 1.1245555555555555, 1.1245555555555555]",3,M07431,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.469222222222222,False
