busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,1828,"[0, 0, 780, 10121, -10121]","[0, 0, -860, -10121, 10121]","[0, 0.0, 0.09555555555555556, 1.1245555555555555, 1.1245555555555555]",5,M01828,"[2347, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.691666666666666,False
can10,1249,"[-147, 10121, -10121]","[-5998, -10121, 10121]","[0.6664444444444445, 1.1245555555555555, 1.1245555555555555]",3,M01249,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.9155555555555557,False
can10,4965,"[0, 0, -1194, 10121, -10121]","[0, 0, 3119, -10121, 10121]","[0, 0.0, 0.3465555555555556, 1.1245555555555555, 1.1245555555555555]",5,M04965,"[2600, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.195222222222222,False
can10,5457,"[1706, 10121, -10121]","[612, -10121, 10121]","[0.1895555555555556, 1.1245555555555555, 1.1245555555555555]",3,M05457,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4386666666666663,False
can10,2334,"[842, 10121, -10121]","[-5407, -10121, 10121]","[0.6007777777777779, 1.1245555555555555, 1.1245555555555555]",3,M02334,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.8498888888888887,False
can10,4196,"[0, 0, 1429, 10121, -10121]","[0, 0, 368, -10121, 10121]","[0, 0.0, 0.1587777777777778, 1.1245555555555555, 1.1245555555555555]",5,M04196,"[2409, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.81711111111111,False
can10,4192,"[3053, 10121, -10121]","[76, -10121, 10121]","[0.33922222222222226, 1.1245555555555555, 1.1245555555555555]",3,M04192,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5883333333333334,False
can10,4250,"[0, 0, -1250, 10121, -10121]","[0, 0, -261, -10121, 10121]","[0, 0.0, 0.1388888888888889, 1.1245555555555555, 1.1245555555555555]",5,M04250,"[2392, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.780222222222222,False
can10,4369,"[0, 0, 369, 10121, -10121]","[0, 0, 1152, -10121, 10121]","[0, 0.0, 0.128, 1.1245555555555555, 1.1245555555555555]",5,M04369,"[2824, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.201111111111111,False
can10,4431,"[0, 0, 848, 10121, -10121]","[0, 0, 671, -10121, 10121]","[0, 0.0, 0.09422222222222223, 1.1245555555555555, 1.1245555555555555]",5,M04431,"[2344, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.687777777777777,False
