busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,2637,"[0, 0, -3888, 0, 0, 0, 0, 0, 649, 10121, -10131]","[0, 0, 0, 0, 0, 958, 0, 0, 0, -10121, 10133]","[0, 0.0, 0.26133333333333336, 0.0, 0.0, 0.09855555555555555, 0.0, 0.0, 0.08138888888888889, 1.1245555555555555, 1.125888888888889]",11,M02637,"[540, 0, 0, 2521, 0, 0, 2922, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.674944444444446,False
can10,2652,"[0, 0, 0, 0, 8741, 10121, -10108]","[0, 0, -5214, 0, 0, -10121, 10107]","[0.0, 0.0, 0.335, 0.0, 0.5309444444444444, 1.1245555555555555, 1.1231111111111112]",7,M02652,"[2366, 0, 0, 882, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.361777777777778,False
can10,3776,"[0, 0, -939, 0, 0, 0, 0, 0, -3296, 10121, -10112]","[0, 0, 0, 0, 0, 4410, 0, 0, 0, -10121, 10119]","[0, 0.0, 0.0975, 0.0, 0.0, 0.29033333333333333, 0.0, 0.0, 0.22844444444444442, 1.1245555555555555, 1.1243333333333334]",11,M03776,"[411, 0, 0, 2784, 0, 0, 2614, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.674055555555555,False
can10,2642,"[0, 0, -1439, 0, 0, 0, 0, 0, -3254, 10121, -10121]","[0, 0, 0, 0, 0, 15798, 0, 0, 0, -10121, 10117]","[0, 0.0, 0.12527777777777777, 0.0, 0.0, 0.9229999999999999, 0.0, 0.0, 0.22611111111111112, 1.1245555555555555, 1.1245555555555555]",11,M02642,"[1223, 0, 0, 1308, 0, 0, 2619, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.672666666666666,False
can10,2661,"[0, 0, 0, 0, 0, 354, 10121, -10122]","[0, 0, -1523, 0, 0, 0, -10121, 10105]","[0.0, 0.0, 0.12994444444444445, 0.0, 0.0, 0.065, 1.1245555555555555, 1.1246666666666667]",8,M02661,"[3447, 0, 0, 2327, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.218777777777778,False
can10,3910,"[0, 0, -7694, 0, 0, 0, 0, -6341, 10121, -10111]","[0, 0, 0, 0, 0, -10678, 0, 0, -10121, 10116]","[0, 0.0, 0.47277777777777774, 0.0, 0.0, 0.6385555555555557, 0.0, 0.7045555555555556, 1.1245555555555555, 1.124]",10,M03910,"[1083, 0, 0, 1365, 0, 0, 24, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.536277777777778,False
can10,2626,"[0, 0, -3242, 0, 0, 0, 0, -1256, 10121, -10100]","[0, 0, 0, 0, 0, 4511, 0, 0, -10121, 10121]","[0, 0.0, 0.22544444444444442, 0.0, 0.0, 0.5012222222222222, 0.0, 0.11511111111111112, 1.1245555555555555, 1.1245555555555555]",10,M02626,"[690, 0, 0, 2158, 0, 0, 8, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']",5.947388888888889,False
can10,3062,"[0, 0, 0, 0, 5025, 10121, -10110]","[0, 0, -2797, 0, 0, -10121, 10126]","[0.0, 0.0, 0.20072222222222225, 0.0, 0.3245, 1.1245555555555555, 1.1251111111111112]",7,M03062,"[3376, 0, 0, 6, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.157333333333333,False
can10,3865,"[0, 0, -812, 0, 0, 0, 0, 758, 10121, -10127]","[0, 0, 0, 0, 17407, 0, 0, 0, -10121, 10109]","[0, 0.0, 0.09044444444444444, 0.0, 1.012388888888889, 0.0, 0.0, 0.08744444444444446, 1.1245555555555555, 1.1252222222222223]",10,M03865,"[695, 0, 0, 846, 0, 3277, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.257833333333334,False
can10,2580,"[0, 0, -1947, 0, 0, 0, 0, 0, -2637, 10121, -10108]","[0, 0, 0, 0, 0, 13161, 0, 0, 0, -10121, 10137]","[0, 0.0, 0.1535, 0.0, 0.0, 0.7765, 0.0, 0.0, 0.19183333333333336, 1.1245555555555555, 1.1263333333333334]",11,M02580,"[500, 0, 0, 2150, 0, 0, 2650, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.674055555555555,False
