busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,3139,"[0, 0, -815, 0, 0, 0, 0, 0, 1105, 10121, -10110]","[0, 0, 0, 0, 0, 620, 0, 0, 0, -10121, 10124]","[0, 0.0, 0.09061111111111111, 0.0, 0.0, 0.07977777777777778, 0.0, 0.0, 0.10672222222222223, 1.1245555555555555, 1.124888888888889]",11,M03139,"[1107, 0, 0, 2994, 0, 0, 2368, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.994611111111112,False
can10,3621,"[0, 0, 0, 0, 5990, 10121, -10127]","[0, 0, 7697, 0, 0, -10121, 10131]","[0.0, 0.0, 0.4729444444444444, 0.0, 0.3781111111111111, 1.1245555555555555, 1.1256666666666666]",7,M03621,"[3427, 0, 0, 379, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.907777777777778,False
can10,3500,"[0, 0, -6340, 0, 0, 0, 0, 4729, 10121, -10117]","[0, 0, 0, 0, 0, -886, 0, 0, -10121, 10110]","[0, 0.0, 0.39755555555555555, 0.0, 0.0, 0.09455555555555556, 0.0, 0.3080555555555556, 1.1245555555555555, 1.124111111111111]",10,M03500,"[446, 0, 0, 2691, 0, 0, 650, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.836166666666667,False
can10,3430,"[0, 0, -4597, 0, 0, 0, 0, 0, 3050, 10121, -10133]","[0, 0, 0, 0, 0, -10976, 0, 0, 0, -10121, 10108]","[0, 0.0, 0.30072222222222217, 0.0, 0.0, 0.6551111111111111, 0.0, 0.0, 0.21477777777777776, 1.1245555555555555, 1.125888888888889]",11,M03430,"[304, 0, 0, 3015, 0, 0, 2641, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.381388888888889,False
can10,2702,"[0, 0, -4070, 0, 0, 0, 0, 0, -3710, 10121, -10129]","[0, 0, 0, 0, 0, -2772, 0, 0, 0, -10121, 10131]","[0, 0.0, 0.27144444444444443, 0.0, 0.0, 0.19933333333333336, 0.0, 0.0, 0.2514444444444444, 1.1245555555555555, 1.1256666666666666]",11,M02702,"[878, 0, 0, 2851, 0, 0, 2677, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.377944444444445,False
can10,2813,"[0, 0, -4877, 0, 0, 0, 0, 0, 2281, 10121, -10105]","[0, 0, 0, 0, 0, 10514, 0, 0, 0, -10121, 10135]","[0, 0.0, 0.3162777777777777, 0.0, 0.0, 0.6294444444444445, 0.0, 0.0, 0.17205555555555554, 1.1245555555555555, 1.126111111111111]",11,M02813,"[662, 0, 0, 2657, 0, 0, 2436, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.124666666666666,False
can10,3426,"[0, 0, 0, 0, 7646, 10121, -10121]","[0, 0, 10910, 0, 0, -10121, 10110]","[0.0, 0.0, 0.6514444444444445, 0.0, 0.4701111111111111, 1.1245555555555555, 1.1245555555555555]",7,M03426,"[3626, 0, 0, 2, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.998666666666667,False
can10,3914,"[0, 0, -1372, 0, 0, 0, 0, 0, 3470, 10121, -10118]","[0, 0, 0, 0, 0, -10121, 0, 0, 0, -10121, 10121]","[0, 0.0, 0.12155555555555556, 0.0, 0.0, 0.6076111111111111, 0.0, 0.0, 0.2381111111111111, 1.1245555555555555, 1.1245555555555555]",11,M03914,"[123, 0, 0, 2821, 0, 0, 3222, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.382277777777777,False
can10,2915,"[0, 0, 0, 0, 6693, 10121, -10110]","[0, 0, -12696, 0, 0, -10121, 10134]","[0.0, 0.0, 0.7506666666666666, 0.0, 0.41716666666666663, 1.1245555555555555, 1.1260000000000001]",7,M02915,"[3440, 0, 0, 89, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.947166666666666,False
can10,3533,"[0, 0, 0, 0, 206, 10121, -10111]","[0, 0, -8689, 0, 0, -10121, 10126]","[0.0, 0.0, 0.5280555555555555, 0.0, 0.05677777777777778, 1.1245555555555555, 1.1251111111111112]",7,M03533,"[2990, 0, 0, 761, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.585888888888889,False
can10,3470,"[0, 0, 0, 0, 3915, 10121, -10133]","[0, 15399, 0, 0, 0, -10121, 10133]","[0.0, 0.9008333333333334, 0.0, 0.0, 0.2628333333333333, 1.1245555555555555, 1.125888888888889]",7,M03470,"[2453, 0, 3491, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.357555555555557,False
can10,3032,"[0, 0, 0, 0, -195, 10121, -10109]","[0, 0, 10457, 0, 0, -10121, 10134]","[0.0, 0.0, 0.6262777777777778, 0.0, 0.05616666666666667, 1.1245555555555555, 1.1260000000000001]",7,M03032,"[3617, 0, 0, 36, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.586166666666666,False
can10,2754,"[0, 0, -5132, 0, 0, 0, 0, -2009, 10121, -10121]","[0, 0, 0, 0, 3992, 0, 0, 0, -10121, 10121]","[0, 0.0, 0.33044444444444443, 0.0, 0.2671111111111111, 0.0, 0.0, 0.15694444444444444, 1.1245555555555555, 1.1245555555555555]",10,M02754,"[332, 0, 0, 1790, 0, 4243, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.369499999999999,False
can10,3821,"[0, 0, 0, 0, 0, 2965, 10121, -10121]","[0, 0, 5180, 0, 0, 0, -10121, 10108]","[0.0, 0.0, 0.3331111111111111, 0.0, 0.0, 0.21005555555555555, 1.1245555555555555, 1.1245555555555555]",8,M03821,"[3935, 0, 0, 2567, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.293666666666667,False
can11,3239,"[0, 0, 0, 0, -827, 10121, -10106]","[0, -21427, 0, 0, 0, -10121, 10106]","[0.0, 1.2357222222222222, 0.0, 0.0, 0.09127777777777778, 1.1245555555555555, 1.1228888888888888]",7,M03239,"[2453, 0, 3354, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.381666666666666,False
can11,3647,"[0, 0, 0, 0, 1095, 10121, -10134]","[0, 8210, 0, 0, 0, -10121, 10121]","[0.0, 0.9122222222222223, 0.0, 0.0, 0.10616666666666667, 1.1245555555555555, 1.1260000000000001]",7,M03647,"[2453, 0, 3658, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']",9.379944444444446,False
can10,3457,"[0, 0, -2912, 0, 0, 0, 0, 0, 277, 10121, -10117]","[0, 0, 0, 0, 0, -14346, 0, 0, 0, -10121, 10116]","[0, 0.0, 0.20711111111111113, 0.0, 0.0, 0.8423333333333333, 0.0, 0.0, 0.060722222222222226, 1.1245555555555555, 1.124111111111111]",11,M03457,"[854, 0, 0, 2346, 0, 0, 2341, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.899777777777777,False
can10,3359,"[0, 0, 0, 0, 1899, 10121, -10122]","[0, 0, 5921, 0, 0, -10121, 10128]","[0.0, 0.0, 0.37427777777777776, 0.0, 0.15083333333333335, 1.1245555555555555, 1.1253333333333335]",7,M03359,"[3895, 0, 0, 10, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.680166666666667,False
can10,4109,"[0, 0, -4543, 0, 0, 0, 0, 0, -1303, 10121, -10123]","[0, 0, 0, 0, 0, 15287, 0, 0, 0, -10121, 10126]","[0, 0.0, 0.2977222222222222, 0.0, 0.0, 0.8946111111111111, 0.0, 0.0, 0.11772222222222221, 1.1245555555555555, 1.1251111111111112]",11,M04109,"[904, 0, 0, 2182, 0, 0, 2372, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.017277777777778,False
can11,3592,"[0, 0, -131, 0, 0, 0, -5438, 10121, -10137]","[0, 0, 0, 0, -27397, 0, 0, -10121, 10110]","[0, 0.0, 0.052611111111111115, 0.0, 1.5673888888888887, 0.0, 0.3474444444444444, 1.1245555555555555, 1.1263333333333334]",9,M03592,"[1149, 0, 0, 1251, 0, 259, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.877777777777778,False
can11,3579,"[0, 0, 0, 0, -2469, 10121, -10125]","[0, -10400, 0, 0, 0, -10121, 10121]","[0.0, 1.1555555555555554, 0.0, 0.0, 0.1825, 1.1245555555555555, 1.125]",7,M03579,"[2453, 0, 3328, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']",9.368222222222222,False
can10,4110,"[0, 0, 0, 6340, 10121, -10130]","[0, -18186, 0, 0, -10121, 10114]","[0.0, 1.0556666666666668, 0.0, 0.39755555555555555, 1.1245555555555555, 1.1255555555555556]",6,M04110,"[2453, 0, 771, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.927111111111111,False
can11,4419,"[0, 0, 0, 0, 5416, 10121, -10131]","[0, 0, -3292, 0, 0, -10121, 10115]","[0.0, 0.0, 0.2282222222222222, 0.0, 0.3462222222222222, 1.1245555555555555, 1.1256666666666666]",7,M04419,"[4046, 0, 0, 5, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.875888888888889,False
can11,3876,"[0, 0, -1887, 0, 0, 0, 0, 0, 2488, 10121, -10111]","[0, 0, 0, 0, 0, 12403, 0, 0, 0, -10121, 10120]","[0, 0.0, 0.15016666666666667, 0.0, 0.0, 0.7343888888888889, 0.0, 0.0, 0.27644444444444444, 1.1245555555555555, 1.1244444444444444]",11,M03876,"[152, 0, 0, 3091, 0, 0, 2727, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.379722222222222,False
can11,3240,"[0, 0, 0, 0, 0, -3412, 10121, -10108]","[0, 0, 5268, 0, 0, 0, -10121, 10130]","[0.0, 0.0, 0.33799999999999997, 0.0, 0.0, 0.23488888888888884, 1.1245555555555555, 1.1255555555555556]",8,M03240,"[3941, 0, 0, 2609, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.373222222222221,False
can11,3064,"[0, 0, 0, 0, 9230, 10121, -10111]","[0, 0, 12139, 0, 0, -10121, 10136]","[0.0, 0.0, 0.7197222222222223, 0.0, 0.5581111111111111, 1.1245555555555555, 1.1262222222222222]",7,M03064,"[3173, 0, 0, 387, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.088333333333333,False
can11,3919,"[0, 0, 0, 0, 0, -1709, 10121, -10133]","[0, 0, 11463, 0, 0, 0, -10121, 10117]","[0.0, 0.0, 0.6821666666666667, 0.0, 0.0, 0.14027777777777778, 1.1245555555555555, 1.125888888888889]",8,M03919,"[3595, 0, 0, 2395, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.062444444444445,False
