busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,5794,"[0, 0, 0, 0, 0, 3090, 10121, -10116]","[0, 0, -13841, 0, 0, 0, -10121, 10121]","[0.0, 0.0, 0.8142777777777778, 0.0, 0.0, 0.217, 1.1245555555555555, 1.1245555555555555]",8,M05794,"[2919, 0, 0, 2623, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.821777777777779,False
can10,5800,"[0, 0, 0, 0, -950, 10121, -10116]","[0, 0, 3337, 0, 0, -10121, 10119]","[0.0, 0.0, 0.2307222222222222, 0.0, 0.09811111111111111, 1.1245555555555555, 1.1243333333333334]",7,M05800,"[3502, 0, 0, 8, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.0873888888888885,False
can10,6773,"[0, 0, 0, 5125, 10121, -10129]","[0, -31838, 0, 0, -10121, 10107]","[0.0, 1.814111111111111, 0.0, 0.33005555555555555, 1.1245555555555555, 1.1254444444444445]",6,M06773,"[1687, 0, 239, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.320444444444446,False
can10,5801,"[-2740, 0, 0, 0, 4766, 10121, -10129]","[0, 0, -21213, 0, 0, -10121, 10123]","[0.19755555555555554, 0.0, 1.2238333333333333, 0.0, 0.31011111111111106, 1.1245555555555555, 1.1254444444444445]",7,M05801,"[0, 1490, 0, 829, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.3004999999999995,False
can10,6804,"[0, 0, 0, 0, 0, -1729, 10121, -10112]","[0, 0, -16909, 0, 0, 0, -10121, 10119]","[0.0, 0.0, 0.9847222222222223, 0.0, 0.0, 0.1413888888888889, 1.1245555555555555, 1.1243333333333334]",8,M06804,"[2754, 0, 0, 2399, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.527833333333334,False
can10,5802,"[0, 0, -58, 0, 0, 0, 0, 10311, 10121, -10112]","[0, 0, 0, 0, 0, 765, 0, 0, -10121, 10105]","[0, 0.0, 0.04855555555555556, 0.0, 0.0, 0.08783333333333333, 0.0, 1.1456666666666668, 1.1245555555555555, 1.1235555555555556]",10,M05802,"[593, 0, 0, 1731, 0, 0, 1280, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.134166666666667,False
can10,5808,"[0, 0, 0, 0, -2473, 10121, -10121]","[0, 13562, 0, 0, 0, -10121, 10111]","[0.0, 0.7987777777777778, 0.0, 0.0, 0.2747777777777778, 1.1245555555555555, 1.1245555555555555]",7,M05808,"[1687, 0, 3820, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.829722222222223,False
can10,6904,"[0, 0, 0, 0, 1565, 10121, -10134]","[0, 0, 9065, 0, 0, -10121, 10109]","[0.0, 0.0, 0.5489444444444445, 0.0, 0.13227777777777777, 1.1245555555555555, 1.1260000000000001]",7,M06904,"[3168, 0, 0, 23, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.123222222222223,False
can10,5824,"[0, 0, 0, 0, 8991, 10121, -10118]","[0, 0, -807, 0, 0, -10121, 10122]","[0.0, 0.0, 0.09016666666666666, 0.0, 0.5448333333333333, 1.1245555555555555, 1.1246666666666667]",7,M05824,"[2283, 0, 0, 1367, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.5344444444444445,False
can10,5806,"[0, 0, -2944, 0, 0, 0, 0, 0, 998, 10121, -10130]","[0, 0, 0, 0, 0, 5205, 0, 0, 0, -10121, 10124]","[0, 0.0, 0.2088888888888889, 0.0, 0.0, 0.33449999999999996, 0.0, 0.0, 0.10077777777777777, 1.1245555555555555, 1.1255555555555556]",11,M05806,"[426, 0, 0, 1750, 0, 0, 3384, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.454944444444445,False
