busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can11,7448,"[0, 0, 0, 3609, 10121, -10110]","[0, -25960, 0, 0, -10121, 10130]","[0.0, 1.4875555555555555, 0.0, 0.24583333333333332, 1.1245555555555555, 1.1255555555555556]",6,M07448,"[1792, 0, 423, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.198555555555556,False
can11,6786,"[0, 0, 0, 0, 3314, 10121, -10137]","[0, 25079, 0, 0, 0, -10121, 10105]","[0.0, 1.438611111111111, 0.0, 0.0, 0.22944444444444445, 1.1245555555555555, 1.1263333333333334]",7,M06786,"[1792, 0, 3114, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.824944444444444,False
can11,6287,"[0, 0, -2809, 0, 0, 0, 0, 12089, 10121, -10110]","[0, 0, 0, 0, 0, -7119, 0, 0, -10121, 10115]","[0, 0.0, 0.2013888888888889, 0.0, 0.0, 0.4408333333333333, 0.0, 1.3432222222222223, 1.1245555555555555, 1.123888888888889]",10,M06287,"[205, 0, 0, 2850, 0, 0, 5, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.294277777777778,False
can11,8200,"[0, 0, 0, 5370, 10121, -10121]","[0, 21902, 0, 0, -10121, 10105]","[0.0, 1.262111111111111, 0.0, 0.5966666666666667, 1.1245555555555555, 1.1245555555555555]",6,M08200,"[1792, 0, 648, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.548388888888889,False
can11,6753,"[0, 0, 0, 5593, 10121, -10128]","[0, -24180, 0, 0, -10121, 10137]","[0.0, 1.3886666666666667, 0.0, 0.3560555555555555, 1.1245555555555555, 1.1263333333333334]",6,M06753,"[1792, 0, 522, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.309555555555555,False
can11,6599,"[0, 0, 0, 0]","[0, -28864, -10121, 10125]","[0.0, 1.6488888888888888, 1.1245555555555555, 1.125]",4,M06599,"[1792, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep']",5.690722222222222,False
can11,6289,"[-5002, 0, 0, 0, 0, 0, -375, 10121, -10123]","[0, 0, 0, 4358, 0, 0, 0, -10121, 10121]","[0.5557777777777778, 0.0, 0.0, 0.4842222222222222, 0.0, 0.0, 0.06616666666666667, 1.1245555555555555, 1.1247777777777779]",9,M06289,"[0, 2626, 0, 0, 2354, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']",8.334888888888889,False
can11,7434,"[0, 0, 0, 0, 283, 10121, -10135]","[0, 0, 11945, 0, 0, -10121, 10118]","[0.0, 0.0, 0.7089444444444445, 0.0, 0.06105555555555556, 1.1245555555555555, 1.126111111111111]",7,M07434,"[2986, 0, 0, 8, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.014333333333333,False
can11,6752,"[0, 0, 0, 0, 3874, 10121, -10131]","[0, 18360, 0, 0, 0, -10121, 10134]","[0.0, 1.0653333333333335, 0.0, 0.0, 0.26055555555555554, 1.1245555555555555, 1.1260000000000001]",7,M06752,"[1792, 0, 3450, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.818611111111112,False
can11,6598,"[0, 0, 0, 0, 2398, 10121, -10122]","[0, 25799, 0, 0, 0, -10121, 10136]","[0.0, 1.478611111111111, 0.0, 0.0, 0.17855555555555558, 1.1245555555555555, 1.1262222222222222]",7,M06598,"[1792, 0, 3126, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.826555555555554,False
