busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,2637,"[0, 0, 2019, 10121, -10121]","[0, 0, -1921, -10121, 10121]","[0, 0.0, 0.22433333333333333, 1.1245555555555555, 1.1245555555555555]",5,M02637,"[2704, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.177333333333333,False
can10,2652,"[0, 0, -2849, 10121, -10121]","[0, 0, 185, -10121, 10121]","[0, 0.0, 0.3165555555555556, 1.1245555555555555, 1.1245555555555555]",5,M02652,"[2593, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.159000000000001,False
can10,3776,"[0, 0, -358, 10121, -10121]","[0, 0, 2806, -10121, 10121]","[0, 0.0, 0.3117777777777778, 1.1245555555555555, 1.1245555555555555]",5,M03776,"[2589, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.149555555555556,False
can10,2642,"[0, 0, 412, 10121, -10121]","[0, 0, 1063, -10121, 10121]","[0, 0.0, 0.11811111111111113, 1.1245555555555555, 1.1245555555555555]",5,M02642,"[2368, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.735222222222221,False
can10,2661,"[1199, 10121, -10121]","[-3341, -10121, 10121]","[0.37122222222222223, 1.1245555555555555, 1.1245555555555555]",3,M02661,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.620333333333333,False
can10,3910,"[0, 0, 1826, 10121, -10121]","[0, 0, -2143, -10121, 10121]","[0, 0.0, 0.23811111111111113, 1.1245555555555555, 1.1245555555555555]",5,M03910,"[2688, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.175,False
can10,2626,"[0, 0, 1669, 10121, -10121]","[0, 0, 973, -10121, 10121]","[0, 0.0, 0.18544444444444444, 1.1245555555555555, 1.1245555555555555]",5,M02626,"[2439, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.873666666666667,False
can10,3062,"[991, 10121, -10121]","[1375, -10121, 10121]","[0.1527777777777778, 1.1245555555555555, 1.1245555555555555]",3,M03062,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.401888888888889,False
can10,3865,"[0, 0, -747, 10121, -10121]","[0, 0, 1858, -10121, 10121]","[0, 0.0, 0.20644444444444446, 1.1245555555555555, 1.1245555555555555]",5,M03865,"[2458, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.913666666666667,False
can10,2580,"[0, 0, -230, 10121, -10121]","[0, 0, -516, -10121, 10121]","[0, 0.0, 0.05733333333333333, 1.1245555555555555, 1.1245555555555555]",5,M02580,"[2865, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.171666666666667,False
