busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can13,2330,"[0, 0, -2379, 10121, -10121]","[0, 0, 2033, -10121, 10121]","[0, 0.0, 0.26433333333333336, 1.1245555555555555, 1.1245555555555555]",5,M02330,"[2577, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.09,False
can12,2315,"[0, 0, -519, 10121, -10121]","[0, 0, -4, -10121, 10121]","[0, 0.0, 0.05766666666666667, 1.1245555555555555, 1.1245555555555555]",5,M02315,"[2308, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.615222222222222,False
can12,2654,"[0, 0, 2114, 10121, -10121]","[0, 0, -1945, -10121, 10121]","[0, 0.0, 0.2348888888888889, 1.1245555555555555, 1.1245555555555555]",5,M02654,"[2606, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.089777777777778,False
can12,4761,"[-9, 10121, -10121]","[4165, -10121, 10121]","[0.4627777777777778, 1.1245555555555555, 1.1245555555555555]",3,M04761,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.711888888888889,False
can12,2532,"[-2741, 10121, -10121]","[1385, -10121, 10121]","[0.3045555555555556, 1.1245555555555555, 1.1245555555555555]",3,M02532,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5536666666666665,False
can13,5367,"[-5271, 10121, -10121]","[1676, -10121, 10121]","[0.5856666666666667, 1.1245555555555555, 1.1245555555555555]",3,M05367,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.834777777777778,False
can13,5385,"[-1823, 10121, -10121]","[2690, -10121, 10121]","[0.29888888888888887, 1.1245555555555555, 1.1245555555555555]",3,M05385,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.548,False
can13,5116,"[0, 0, 1451, 10121, -10121]","[0, 0, -1161, -10121, 10121]","[0, 0.0, 0.1612222222222222, 1.1245555555555555, 1.1245555555555555]",5,M05116,"[2680, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.090111111111111,False
can13,2570,"[921, 10121, -10121]","[-983, -10121, 10121]","[0.10922222222222223, 1.1245555555555555, 1.1245555555555555]",3,M02570,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.3583333333333334,False
can13,5368,"[-1705, 10121, -10121]","[6786, -10121, 10121]","[0.754, 1.1245555555555555, 1.1245555555555555]",3,M05368,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",3.003111111111111,False
