busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,7172,"[3067, 10121, -10121]","[2317, -10121, 10121]","[0.3407777777777778, 1.1245555555555555, 1.1245555555555555]",3,M07172,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.589888888888889,False
can10,7171,"[-2808, 10121, -10121]","[3656, -10121, 10121]","[0.40622222222222226, 1.1245555555555555, 1.1245555555555555]",3,M07171,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.655333333333333,False
can10,7599,"[2915, 10121, -10121]","[-447, -10121, 10121]","[0.3238888888888889, 1.1245555555555555, 1.1245555555555555]",3,M07599,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.573,False
can10,7475,"[0, 0, 2210, 10121, -10121]","[0, 0, 1054, -10121, 10121]","[0, 0.0, 0.24555555555555555, 1.1245555555555555, 1.1245555555555555]",5,M07475,"[2599, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.093333333333333,False
can10,7130,"[0, 0, 702, 10121, -10121]","[0, 0, 483, -10121, 10121]","[0, 0.0, 0.078, 1.1245555555555555, 1.1245555555555555]",5,M07130,"[2761, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.088111111111111,False
can10,7233,"[0, 0, 2020, 10121, -10121]","[0, 0, 2167, -10121, 10121]","[0, 0.0, 0.24077777777777779, 1.1245555555555555, 1.1245555555555555]",5,M07233,"[2490, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.980333333333333,False
can10,7471,"[1535, 10121, -10121]","[6498, -10121, 10121]","[0.7220000000000001, 1.1245555555555555, 1.1245555555555555]",3,M07471,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.971111111111111,False
can10,7607,"[-1795, 10121, -10121]","[1644, -10121, 10121]","[0.19944444444444445, 1.1245555555555555, 1.1245555555555555]",3,M07607,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4485555555555556,False
can10,7230,"[-2151, 10121, -10121]","[-252, -10121, 10121]","[0.23900000000000002, 1.1245555555555555, 1.1245555555555555]",3,M07230,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4881111111111114,False
can10,7227,"[4665, 10121, -10121]","[-574, -10121, 10121]","[0.5183333333333333, 1.1245555555555555, 1.1245555555555555]",3,M07227,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.767444444444444,False
