busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,1761,"[0, 0, -1108, 0, 0, 0, 0, 2727, 10121, -10121]","[0, 0, 0, 0, 0, 5639, 0, 0, -10121, 10134]","[0, 0.0, 0.10688888888888888, 0.0, 0.0, 0.3586111111111111, 0.0, 0.19683333333333336, 1.1245555555555555, 1.1260000000000001]",10,M01761,"[223, 0, 0, 2483, 0, 0, 505, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.123666666666667,False
can10,1097,"[0, 0, -2009, 0, 0, 0, 0, -1424, 10121, -10133]","[0, 0, 0, 0, 11317, 0, 0, 0, -10121, 10121]","[0, 0.0, 0.15694444444444444, 0.0, 1.2574444444444446, 0.0, 0.0, 0.15822222222222224, 1.1245555555555555, 1.125888888888889]",10,M01097,"[1227, 0, 0, 298, 0, 3425, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']",8.773111111111112,False
can10,7696,"[0, 0, 0, 0, 0, -283, 10121, -10121]","[0, 0, 5252, 0, 0, 0, -10121, 10118]","[0.0, 0.0, 0.3371111111111111, 0.0, 0.0, 0.03144444444444445, 1.1245555555555555, 1.1245555555555555]",8,M07696,"[2373, 0, 0, 3774, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.764888888888889,False
can10,7686,"[0, 0, -5143, 0, 0, 0, 0, 7777, 10121, -10119]","[0, 0, 0, 0, 0, -6739, 0, 0, -10121, 10109]","[0, 0.0, 0.3310555555555555, 0.0, 0.0, 0.41972222222222216, 0.0, 0.47738888888888886, 1.1245555555555555, 1.1243333333333334]",10,M07686,"[668, 0, 0, 2066, 0, 0, 191, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.402555555555556,False
can10,1959,"[0, 0, -5399, 0, 0, 0, 2916, 10121, -10113]","[0, 0, 0, 0, -30233, 0, 0, -10121, 10111]","[0, 0.0, 0.3452777777777778, 0.0, 1.7249444444444444, 0.0, 0.324, 1.1245555555555555, 1.1236666666666668]",9,M01959,"[1068, 0, 0, 269, 0, 269, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.2485,False
can10,1096,"[0, 0, -1549, 0, 0, 0, -3911, 10121, -10108]","[0, 0, 0, 0, 5523, 0, 0, -10121, 10132]","[0, 0.0, 0.1313888888888889, 0.0, 0.35216666666666663, 0.0, 0.4345555555555556, 1.1245555555555555, 1.1257777777777778]",9,M01096,"[1027, 0, 0, 523, 0, 1642, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.361166666666666,False
can10,1669,"[0, 0, 0, 0, 6359, 10121, -10105]","[0, 0, -4268, 0, 0, -10121, 10118]","[0.0, 0.0, 0.28244444444444444, 0.0, 0.398611111111111, 1.1245555555555555, 1.1242222222222222]",7,M01669,"[3320, 0, 0, 74, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.323666666666666,False
can10,4233,"[0, 0, -2628, 0, 0, 0, 0, 620, 10121, -10110]","[0, 0, 0, 0, 0, -15351, 0, 0, -10121, 10128]","[0, 0.0, 0.29200000000000004, 0.0, 0.0, 0.8981666666666667, 0.0, 0.07977777777777778, 1.1245555555555555, 1.1253333333333335]",10,M04233,"[894, 0, 0, 1457, 0, 0, 136, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.005944444444444,False
can10,7694,"[0, 0, 0, 0, 9136, 10121, -10123]","[0, 0, -14758, 0, 0, -10121, 10130]","[0.0, 0.0, 0.8652222222222222, 0.0, 0.5528888888888889, 1.1245555555555555, 1.1255555555555556]",7,M07694,"[2760, 0, 0, 51, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.479277777777778,False
can10,7711,"[0, 0, -1886, 0, 0, 0, 0, 1151, 10121, -10116]","[0, 0, 0, 0, 20586, 0, 0, 0, -10121, 10107]","[0, 0.0, 0.15011111111111108, 0.0, 1.189, 0.0, 0.0, 0.10927777777777778, 1.1245555555555555, 1.124]",10,M07711,"[305, 0, 0, 1227, 0, 3163, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.392222222222223,False
can10,1483,"[0, 0, 0, 0, 0, 3652, 10121, -10111]","[0, 0, -5588, 0, 0, 0, -10121, 10124]","[0.0, 0.0, 0.35577777777777775, 0.0, 0.0, 0.24822222222222218, 1.1245555555555555, 1.124888888888889]",8,M01483,"[3171, 0, 0, 2749, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.772833333333333,False
can10,1967,"[0, 0, -3293, 0, 0, 0, 5372, 10121, -10136]","[0, 0, 0, 0, -3751, 0, 0, -10121, 10114]","[0, 0.0, 0.2282777777777778, 0.0, 0.2537222222222222, 0.0, 0.34377777777777774, 1.1245555555555555, 1.1262222222222222]",9,M01967,"[1193, 0, 0, 261, 0, 1741, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.270833333333334,False
can10,7712,"[0, 0, -5877, 0, 0, 0, 0, 10422, 10121, -10131]","[0, 0, 0, 0, 0, -10541, 0, 0, -10121, 10119]","[0, 0.0, 0.3718333333333333, 0.0, 0.0, 0.6309444444444444, 0.0, 1.1580000000000001, 1.1245555555555555, 1.1256666666666666]",10,M07712,"[374, 0, 0, 1604, 0, 0, 695, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.0845,False
can10,7848,"[-2969, 0, 0, 0, 0, 1127, 10121, -10108]","[0, 0, 0, -11833, 0, 0, -10121, 10137]","[0.21027777777777779, 0.0, 0.0, 0.7027222222222222, 0.0, 0.10794444444444444, 1.1245555555555555, 1.1263333333333334]",8,M07848,"[0, 2721, 0, 0, 42, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.035111111111111,False
can11,7920,"[0, 0, 0, 0, 6466, 10121, -10123]","[0, 0, 8369, 0, 0, -10121, 10114]","[0.0, 0.0, 0.5102777777777777, 0.0, 0.40455555555555556, 1.1245555555555555, 1.1247777777777779]",7,M07920,"[3126, 0, 0, 40, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.330166666666666,False
can11,7930,"[0, 0, -733, 0, 0, 0, 0, 0, 6853, 0, 10121, -10112]","[0, 0, 0, 0, 0, 4059, 0, 275, 0, -275, -10121, 10119]","[0, 0.0, 0.08605555555555557, 0.0, 0.0, 0.2708333333333333, 0.0, 0.060611111111111116, 0.4260555555555555, 0.060611111111111116, 1.1245555555555555, 1.1243333333333334]",12,M07930,"[906, 0, 0, 2000, 0, 0, 413, 76, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'cruise', 'creep', 'cruise', 'creep', 'creep']",6.548111111111112,False
can10,7720,"[0, 0, -2457, 0, 0, 0, 0, -6767, 10121, -10118]","[0, 0, 0, 0, 0, 15600, 0, 0, -10121, 10122]","[0, 0.0, 0.18183333333333332, 0.0, 0.0, 0.912, 0.0, 0.7518888888888889, 1.1245555555555555, 1.1246666666666667]",10,M07720,"[186, 0, 0, 2343, 0, 0, 53, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.677388888888889,False
can10,7687,"[0, 0, -467, 0, 0, 0, 0, 0, -3069, 10121, -10098]","[0, 0, 0, 0, 0, -6082, 0, 0, 0, -10121, 10114]","[0, 0.0, 0.07127777777777777, 0.0, 0.0, 0.3832222222222222, 0.0, 0.0, 0.21583333333333332, 1.1245555555555555, 1.123777777777778]",11,M07687,"[1374, 0, 0, 1806, 0, 0, 2530, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.629333333333333,False
can10,7431,"[0, 0, -3847, 0, 0, 0, 0, 5712, 10121, -10093]","[0, 0, 0, 0, 0, -11966, 0, 0, -10121, 10114]","[0, 0.0, 0.25905555555555554, 0.0, 0.0, 0.7101111111111111, 0.0, 0.36266666666666664, 1.1245555555555555, 1.123777777777778]",10,M07431,"[520, 0, 0, 2121, 0, 0, 67, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.287277777777779,False
can11,7927,"[0, 0, -2259, 0, 0, 0, 0, 3470, 10121, -10137]","[0, 0, 0, 0, 0, -1658, 0, 0, -10121, 10113]","[0, 0.0, 0.17083333333333334, 0.0, 0.0, 0.13744444444444445, 0.0, 0.2381111111111111, 1.1245555555555555, 1.1263333333333334]",10,M07927,"[898, 0, 0, 1373, 0, 0, 1097, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.165277777777777,False
can11,7926,"[0, 0, -4796, 0, 0, 0, 0, 0, -4399, 0, 10121, -10105]","[0, 0, 0, 0, -25179, 0, -1637, 0, 0, 1637, -10121, 10118]","[0, 0.0, 0.532888888888889, 0.0, 1.4441666666666666, 0.0, 0.13627777777777778, 0.0, 0.2897222222222222, 0.13627777777777778, 1.1245555555555555, 1.1242222222222222]",12,M07926,"[839, 0, 0, 310, 0, 550, 3020, 0, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'cruise', 'creep', 'creep', 'cruise', 'creep', 'creep']",9.507722222222224,False
