busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,7172,"[0, 0, -2626, 0, 0, 0, 0, -4061, 10121, -10105]","[0, 0, 0, 0, -2573, 0, 0, 0, -10121, 10123]","[0, 0.0, 0.1912222222222222, 0.0, 0.1882777777777778, 0.0, 0.0, 0.27094444444444443, 1.1245555555555555, 1.1247777777777779]",10,M07172,"[1364, 0, 0, 2111, 0, 4196, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.5705,False
can10,7171,"[0, 0, 0, 0, 0, 3851, 10121, -10106]","[0, 0, 12380, 0, 0, 0, -10121, 10109]","[0.0, 0.0, 0.7331111111111112, 0.0, 0.0, 0.2592777777777778, 1.1245555555555555, 1.1232222222222223]",8,M07171,"[4749, 0, 0, 2581, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.570166666666665,False
can10,7599,"[0, 0, -1916, 0, 0, 0, 0, -2248, 10121, -10105]","[0, 0, 0, 0, 0, 3385, 0, 0, -10121, 10110]","[0, 0.0, 0.15177777777777776, 0.0, 0.0, 0.23338888888888887, 0.0, 0.17022222222222225, 1.1245555555555555, 1.1233333333333333]",10,M07599,"[1476, 0, 0, 3633, 0, 0, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.912777777777778,False
can10,7490,"[0, 0, -300, 0, 0, 10121, -10132]","[0, 0, 0, 0, -5415, -10121, 10123]","[0, 0.0, 0.062000000000000006, 0.0, 0.3461666666666667, 1.1245555555555555, 1.1257777777777778]",7,M07490,"[1565, 0, 0, 2039, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']",6.262555555555555,False
can10,7475,"[-6763, 0, 0, 0, 0, 4784, 10121, -10112]","[0, 0, 0, -5012, 0, 0, -10121, 10124]","[0.4210555555555555, 0.0, 0.0, 0.3237777777777777, 0.0, 0.3111111111111111, 1.1245555555555555, 1.124888888888889]",8,M07475,"[0, 3591, 0, 0, 1159, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.055222222222222,False
can10,7130,"[0, 0, -2910, 0, 0, 0, 0, -1828, 10121, -10111]","[0, 0, 0, 0, 18183, 0, 0, 0, -10121, 10135]","[0, 0.0, 0.207, 0.0, 1.0554999999999999, 0.0, 0.0, 0.1468888888888889, 1.1245555555555555, 1.126111111111111]",10,M07130,"[1094, 0, 0, 2365, 0, 3453, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.571777777777775,False
can10,7233,"[0, 0, -635, 0, 0, 0, 0, 0, 817, 10121, -10108]","[0, 0, 0, 0, 0, -626, 0, 0, 0, -10121, 10123]","[0, 0.0, 0.08061111111111112, 0.0, 0.0, 0.08011111111111112, 0.0, 0.0, 0.09072222222222222, 1.1245555555555555, 1.1247777777777779]",11,M07233,"[1427, 0, 0, 3901, 0, 0, 2742, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.570333333333334,False
can10,7471,"[-7741, 0, 0, 0, 0, -4781, 10121, -10110]","[0, 0, 0, 12258, 0, 0, -10121, 10111]","[0.8601111111111112, 0.0, 0.0, 0.7263333333333334, 0.0, 0.3109444444444444, 1.1245555555555555, 1.1234444444444445]",8,M07471,"[0, 3908, 0, 0, 1, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.05361111111111,False
can10,7607,"[0, 0, -989, 0, 0, 0, 0, 0, 162, 10121, -10135]","[0, 0, 0, 0, 0, 4118, 0, 0, 0, -10121, 10109]","[0, 0.0, 0.10027777777777777, 0.0, 0.0, 0.27411111111111114, 0.0, 0.0, 0.05433333333333334, 1.1245555555555555, 1.126111111111111]",11,M07607,"[665, 0, 0, 4455, 0, 0, 2306, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.105777777777778,False
can10,7230,"[0, 0, 0, 6835, 10121, -10129]","[0, -22482, 0, 0, -10121, 10113]","[0.0, 1.2943333333333333, 0.0, 0.4250555555555555, 1.1245555555555555, 1.1254444444444445]",6,M07230,"[3666, 0, 534, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.169722222222223,False
can10,7227,"[-524, 0, 0, 0, 0, 1703, 10121, -10123]","[0, 0, 0, 3205, 0, 0, -10121, 10135]","[0.07444444444444444, 0.0, 0.0, 0.2233888888888889, 0.0, 0.13994444444444445, 1.1245555555555555, 1.126111111111111]",8,M07227,"[0, 4864, 0, 0, 332, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.885277777777777,False
can10,7492,"[0, 0, -1413, 0, 0, 0, -13181, 10121, -10106]","[0, 0, 0, 0, -23190, 0, 0, -10121, 10105]","[0, 0.0, 0.12383333333333334, 0.0, 1.3336666666666668, 0.0, 1.4645555555555556, 1.1245555555555555, 1.1228888888888888]",9,M07492,"[1233, 0, 0, 2309, 0, 495, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",9.206666666666665,False
