busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,5405,"[0, 0, -6309, 0, 0, 0, 0, -316, 10121, -10137]","[0, 0, 0, 0, 0, 13871, 0, 0, -10121, 10121]","[0, 0.0, 0.7010000000000001, 0.0, 0.0, 0.8159444444444445, 0.0, 0.0628888888888889, 1.1245555555555555, 1.1263333333333334]",10,M05405,"[860, 0, 0, 1695, 0, 0, 38, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.42288888888889,False
can10,5550,"[-6130, 0, 0, 0, 9493, 10121, -10135]","[0, 0, 29548, 0, 0, -10121, 10131]","[0.3858888888888889, 0.0, 1.6868888888888889, 0.0, 1.0547777777777778, 1.1245555555555555, 1.126111111111111]",7,M05550,"[0, 1879, 0, 158, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.414555555555555,False
can10,5180,"[0, 0, -2662, 0, 0, 0, 0, 6328, 10121, -10137]","[0, 0, 0, 0, 0, 9418, 0, 0, -10121, 10119]","[0, 0.0, 0.19322222222222224, 0.0, 0.0, 0.5685555555555555, 0.0, 0.7031111111111112, 1.1245555555555555, 1.1263333333333334]",10,M05180,"[1491, 0, 0, 1854, 0, 0, 3, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.063111111111112,False
can10,4566,"[0, 0, 0, 11160, 10121, -10126]","[0, -18716, 0, 0, -10121, 10130]","[0.0, 1.0851111111111111, 0.0, 0.6653333333333333, 1.1245555555555555, 1.1255555555555556]",6,M04566,"[2265, 0, 759, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.024555555555556,False
can10,5177,"[0, 0, 0, 0, 437, 10121, -10135]","[0, 0, -492, 0, 0, -10121, 10121]","[0.0, 0.0, 0.07266666666666666, 0.0, 0.06961111111111111, 1.1245555555555555, 1.126111111111111]",7,M05177,"[2989, 0, 0, 1048, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.42938888888889,False
can10,5551,"[0, 0, -5589, 0, 0, 0, 0, 4747, 10121, -10127]","[0, 0, 0, 0, -16651, 0, 0, 0, -10121, 10125]","[0, 0.0, 0.621, 0.0, 0.9703888888888889, 0.0, 0.0, 0.30905555555555553, 1.1245555555555555, 1.1252222222222223]",10,M05551,"[625, 0, 0, 1018, 0, 3445, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.238388888888888,False
can10,5094,"[-4048, 0, 0, 0, 0, 0, 2445, 10121, -10121]","[0, 0, 0, -1297, 0, 0, 0, -10121, 10129]","[0.27022222222222225, 0.0, 0.0, 0.11738888888888888, 0.0, 0.0, 0.18116666666666664, 1.1245555555555555, 1.1254444444444445]",9,M05094,"[0, 3624, 0, 0, 2528, 0, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.970555555555556,False
can10,5158,"[0, 0, 0, 0, 0, 1254, 10121, -10126]","[0, 0, 13836, 0, 0, 0, -10121, 10125]","[0.0, 0.0, 0.814, 0.0, 0.0, 0.115, 1.1245555555555555, 1.1251111111111112]",8,M05158,"[3243, 0, 0, 2419, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.840944444444444,False
can10,5404,"[0, 0, -4434, 0, 0, 0, 0, -5358, 10121, -10091]","[0, 0, 0, 0, 0, 7906, 0, 0, -10121, 10107]","[0, 0.0, 0.2916666666666667, 0.0, 0.0, 0.4845555555555555, 0.0, 0.34299999999999997, 1.1245555555555555, 1.123]",10,M05404,"[592, 0, 0, 2724, 0, 0, 17, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.699666666666667,False
can10,5423,"[0, 0, -4228, 0, 0, 0, -1347, 10121, -10119]","[0, 0, 0, 0, -17513, 0, 0, -10121, 10134]","[0, 0.0, 0.28022222222222226, 0.0, 1.0182777777777778, 0.0, 0.12016666666666666, 1.1245555555555555, 1.1260000000000001]",9,M05423,"[844, 0, 0, 1140, 0, 826, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.479833333333334,False
