busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,5129,"[0, 0, 0, 10156, 10121, -10121]","[0, 20033, 0, 0, -10121, 10137]","[0.0, 1.1582777777777777, 0.0, 1.1284444444444444, 1.1245555555555555, 1.1263333333333334]",6,M05129,"[3333, 0, 803, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.673833333333333,False
can10,5473,"[0, 0, -1913, 0, 0, 0, 0, 1726, 10121, -10102]","[0, 0, 0, 0, 6941, 0, 0, 0, -10121, 10124]","[0, 0.0, 0.1516111111111111, 0.0, 0.4309444444444444, 0.0, 0.0, 0.1412222222222222, 1.1245555555555555, 1.124888888888889]",10,M05473,"[716, 0, 0, 2466, 0, 3920, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.074055555555553,False
can10,5151,"[0, 0, -3264, 0, 0, 0, 0, 0, -107, 10121, -10119]","[0, 0, 0, 0, 0, 7771, 0, 0, 0, -10121, 10117]","[0, 0.0, 0.22666666666666666, 0.0, 0.0, 0.4770555555555555, 0.0, 0.0, 0.051277777777777776, 1.1245555555555555, 1.1243333333333334]",11,M05151,"[466, 0, 0, 4118, 0, 0, 2769, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.357444444444443,False
can10,5031,"[0, 0, -3530, 0, 0, 0, 0, -3826, 10121, -10138]","[0, 0, 0, 0, -30960, 0, 0, 0, -10121, 10116]","[0, 0.0, 0.24144444444444443, 0.0, 1.7653333333333334, 0.0, 0.0, 0.2578888888888889, 1.1245555555555555, 1.1264444444444446]",10,M05031,"[488, 0, 0, 2603, 0, 2745, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.35222222222222,False
can10,5149,"[0, 0, 0, 0, 0, 3199, 10121, -10132]","[0, 0, -15311, 0, 0, 0, -10121, 10130]","[0.0, 0.0, 0.8959444444444444, 0.0, 0.0, 0.22305555555555556, 1.1245555555555555, 1.1257777777777778]",8,M05149,"[4326, 0, 0, 2652, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.347555555555555,False
can10,4157,"[0, 0, 0, 8245, 10121, -10124]","[0, -27045, 0, 0, -10121, 10133]","[0.0, 1.5478333333333334, 0.0, 0.5033888888888889, 1.1245555555555555, 1.125888888888889]",6,M04157,"[3333, 0, 414, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.048333333333332,False
can10,5145,"[0, 0, 0, 0, 0, 676, 10121, -10128]","[0, 0, 1699, 0, 0, 0, -10121, 10120]","[0.0, 0.0, 0.13972222222222222, 0.0, 0.0, 0.0828888888888889, 1.1245555555555555, 1.1253333333333335]",8,M05145,"[4735, 0, 0, 2753, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.960777777777777,False
can10,2513,"[0, 0, 0, 0, 0, 2934, 10121, -10107]","[0, 0, 3030, 0, 0, 0, -10121, 10108]","[0.0, 0.0, 0.21366666666666664, 0.0, 0.0, 0.20833333333333334, 1.1245555555555555, 1.1231111111111112]",8,M02513,"[4225, 0, 0, 3431, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.325666666666667,False
can10,5035,"[0, 0, -624, 0, 0, 0, 0, -1333, 10121, -10135]","[0, 0, 0, 0, 0, 12001, 0, 0, -10121, 10110]","[0, 0.0, 0.08, 0.0, 0.0, 0.7120555555555556, 0.0, 0.11938888888888889, 1.1245555555555555, 1.126111111111111]",10,M05035,"[430, 0, 0, 4058, 0, 0, 14, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.6645555555555545,False
can10,5144,"[0, 0, -3904, 0, 0, 0, 0, 0, -345, 10121, -10109]","[0, 0, 0, 0, 0, 2106, 0, 0, 0, -10121, 10131]","[0, 0.0, 0.4337777777777778, 0.0, 0.0, 0.1623333333333333, 0.0, 0.0, 0.0645, 1.1245555555555555, 1.1256666666666666]",11,M05144,"[1179, 0, 0, 2667, 0, 0, 3165, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.921888888888887,False
can10,2498,"[0, 0, 0, 0, 12748, 10121, -10107]","[0, 0, 1821, 0, 0, -10121, 10121]","[0.0, 0.0, 0.20233333333333337, 0.0, 0.7535555555555555, 1.1245555555555555, 1.1245555555555555]",7,M02498,"[3538, 0, 0, 1554, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']",8.297166666666666,False
can10,5166,"[0, 0, -2734, 0, 0, 0, -1865, 10121, -10134]","[0, 0, 0, 0, -4038, 0, 0, -10121, 10126]","[0, 0.0, 0.19722222222222222, 0.0, 0.26966666666666667, 0.0, 0.14894444444444443, 1.1245555555555555, 1.1260000000000001]",9,M05166,"[598, 0, 0, 2537, 0, 1692, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.694,False
can10,5171,"[0, 0, 0, 0, 5666, 10121, -10105]","[0, 0, 3207, 0, 0, -10121, 10109]","[0.0, 0.0, 0.22349999999999998, 0.0, 0.3601111111111111, 1.1245555555555555, 1.1232222222222223]",7,M05171,"[3785, 0, 0, 1286, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.902388888888889,False
can10,3224,"[0, 0, -2776, 0, 0, 0, 0, -1218, 10121, -10113]","[0, 0, 0, 0, 8042, 0, 0, 0, -10121, 10128]","[0, 0.0, 0.19955555555555554, 0.0, 0.49211111111111105, 0.0, 0.0, 0.113, 1.1245555555555555, 1.1253333333333335]",10,M03224,"[200, 0, 0, 2933, 0, 3833, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.020722222222222,False
can10,2921,"[0, 0, -968, 0, 0, 0, 0, 340, 10121, -10112]","[0, 0, 0, 0, 0, -10668, 0, 0, -10121, 10131]","[0, 0.0, 0.09911111111111111, 0.0, 0.0, 0.6380000000000001, 0.0, 0.06422222222222222, 1.1245555555555555, 1.1256666666666666]",10,M02921,"[1143, 0, 0, 3412, 0, 0, 1, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.608944444444444,False
can10,5130,"[0, 0, 0, 0, 9205, 10121, -10114]","[0, 0, -8659, 0, 0, -10121, 10137]","[0.0, 0.0, 0.5263888888888888, 0.0, 0.5567222222222222, 1.1245555555555555, 1.1263333333333334]",7,M05130,"[4406, 0, 0, 363, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.10211111111111,False
can10,5147,"[0, 0, -650, 0, 0, 0, 0, 0, 3573, 10121, -10126]","[0, 0, 0, 0, 0, 3787, 0, 0, 0, -10121, 10132]","[0, 0.0, 0.08144444444444444, 0.0, 0.0, 0.2557222222222222, 0.0, 0.0, 0.24383333333333335, 1.1245555555555555, 1.1257777777777778]",11,M05147,"[349, 0, 0, 3699, 0, 0, 3473, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.352444444444444,False
can10,2508,"[0, 0, 0, 0, 5848, 10121, -10125]","[0, 0, 6488, 0, 0, -10121, 10113]","[0.0, 0.0, 0.40577777777777774, 0.0, 0.3702222222222222, 1.1245555555555555, 1.125]",7,M02508,"[4864, 0, 0, 24, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.914277777777777,False
can11,2296,"[0, 0, 0, 0, 2898, 10121, -10131]","[0, -2871, 0, 0, 0, -10121, 10130]","[0.0, 0.2048333333333333, 0.0, 0.0, 0.20633333333333334, 1.1245555555555555, 1.1256666666666666]",7,M02296,"[3333, 0, 4333, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.327388888888887,False
can11,5303,"[0, 0, -2535, 0, 0, 0, 0, -188, 10121, -10113]","[0, 0, 0, 0, -27958, 0, 0, 0, -10121, 10125]","[0, 0.0, 0.18616666666666665, 0.0, 1.5985555555555555, 0.0, 0.0, 0.05577777777777778, 1.1245555555555555, 1.125]",10,M05303,"[187, 0, 0, 2959, 0, 2669, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.905666666666665,False
can10,4447,"[0, 0, -4886, 0, 0, 0, 0, 8514, 10121, -10134]","[0, 0, 0, 0, 0, -13638, 0, 0, -10121, 10126]","[0, 0.0, 0.31677777777777777, 0.0, 0.0, 0.8029999999999999, 0.0, 0.9460000000000001, 1.1245555555555555, 1.1260000000000001]",10,M04447,"[323, 0, 0, 3851, 0, 0, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",8.491055555555555,False
can10,5143,"[0, 0, -410, 0, 0, 0, 0, 0, -1337, 10121, -10108]","[0, 0, 0, 0, 0, -5995, 0, 0, 0, -10121, 10134]","[0, 0.0, 0.06811111111111111, 0.0, 0.0, 0.3783888888888889, 0.0, 0.0, 0.1196111111111111, 1.1245555555555555, 1.1260000000000001]",11,M05143,"[510, 0, 0, 4327, 0, 0, 2380, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.034166666666666,False
can10,283,"[0, 0, 0, 4635, 10121, -10116]","[0, -17064, 0, 0, -10121, 10115]","[0.0, 0.9933333333333333, 0.0, 0.30283333333333334, 1.1245555555555555, 1.124]",6,M00283,"[3333, 0, 968, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.845888888888889,False
can11,2867,"[0, 0, -3240, 0, 0, 0, 0, 6144, 10121, -10131]","[0, 0, 0, 0, 0, -1080, 0, 0, -10121, 10136]","[0, 0.0, 0.22533333333333333, 0.0, 0.0, 0.10533333333333333, 0.0, 0.3866666666666666, 1.1245555555555555, 1.1262222222222222]",10,M02867,"[692, 0, 0, 4270, 0, 0, 1, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.931944444444444,False
can11,5305,"[0, 0, 0, 1741, 10121, -10117]","[0, 11877, 0, 0, -10121, 10134]","[0.0, 0.7051666666666667, 0.0, 0.14205555555555552, 1.1245555555555555, 1.1260000000000001]",6,M05305,"[3333, 0, 1256, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.68711111111111,False
can11,2697,"[0, 0, -1415, 0, 0, 0, 1725, 10121, -10125]","[0, 0, 0, 0, 1596, 0, 0, -10121, 10110]","[0, 0.0, 0.12394444444444445, 0.0, 0.13399999999999998, 0.0, 0.14116666666666666, 1.1245555555555555, 1.125]",9,M02697,"[125, 0, 0, 3084, 0, 1828, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.685222222222221,False
