busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,1828,"[0, 0, -1558, 0, 0, 0, 0, -909, 10121, -10094]","[0, 0, 0, 0, -11354, 0, 0, 0, -10121, 10111]","[0, 0.0, 0.1318888888888889, 0.0, 0.6761111111111111, 0.0, 0.0, 0.09583333333333334, 1.1245555555555555, 1.1234444444444445]",10,M01828,"[722, 0, 0, 830, 0, 4034, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.738166666666666,False
can10,1249,"[0, 0, -4433, 0, 0, 0, 0, -4823, 10121, -10113]","[0, 0, 0, 0, 0, 6368, 0, 0, -10121, 10109]","[0, 0.0, 0.2916111111111111, 0.0, 0.0, 0.3991111111111111, 0.0, 0.31327777777777777, 1.1245555555555555, 1.1236666666666668]",10,M01249,"[1195, 0, 0, 1014, 0, 0, 782, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.242222222222223,False
can10,4965,"[0, 0, 0, 0, 5000, 10121, -10131]","[0, 0, -13778, 0, 0, -10121, 10119]","[0.0, 0.0, 0.8107777777777777, 0.0, 0.32311111111111107, 1.1245555555555555, 1.1256666666666666]",7,M04965,"[2786, 0, 0, 84, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.254055555555555,False
can10,5457,"[0, 0, 0, -423, 10121, -10137]","[0, 21574, 0, 0, -10121, 10122]","[0.0, 1.2438888888888888, 0.0, 0.06883333333333333, 1.1245555555555555, 1.1263333333333334]",6,M05457,"[1684, 0, 753, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.000444444444445,False
can10,2334,"[0, 0, -6181, 0, 0, 0, 0, -3137, 10121, -10138]","[0, 0, 0, 0, -24358, 0, 0, 0, -10121, 10123]","[0, 0.0, 0.3887222222222222, 0.0, 1.3985555555555556, 0.0, 0.0, 0.21961111111111106, 1.1245555555555555, 1.1264444444444446]",10,M02334,"[394, 0, 0, 901, 0, 3181, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.734,False
can10,4196,"[0, 0, -459, 0, 0, 0, 0, 1999, 10121, -10107]","[0, 0, 0, 0, -23427, 0, 0, 0, -10121, 10126]","[0, 0.0, 0.07083333333333333, 0.0, 1.3468333333333333, 0.0, 0.0, 0.15638888888888888, 1.1245555555555555, 1.1251111111111112]",10,M04196,"[399, 0, 0, 1215, 0, 3305, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.742388888888888,False
can10,4192,"[-4691, 0, 0, 0, 0, -3068, 10121, -10142]","[0, 0, 27383, 0, 0, 0, -10121, 10109]","[0.3059444444444444, 0.0, 1.566611111111111, 0.0, 0.0, 0.2157777777777778, 1.1245555555555555, 1.1268888888888888]",8,M04192,"[0, 1378, 0, 2896, 0, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.614222222222223,False
can10,4250,"[-3447, 0, 0, 0, 0, 5400, 10121, -10146]","[0, 0, 0, -260, 0, 0, -10121, 10134]","[0.23683333333333328, 0.0, 0.0, 0.059777777777777784, 0.0, 0.3453333333333333, 1.1245555555555555, 1.1273333333333333]",8,M04250,"[0, 3384, 0, 0, 0, 0, 0, 0]",True,"['cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.2779444444444445,False
can10,4369,"[0, 0, -3704, 0, 0, 0, 0, 4929, 10121, -10140]","[0, 0, 0, 0, 0, -315, 0, 0, -10121, 10134]","[0, 0.0, 0.2511111111111111, 0.0, 0.0, 0.06283333333333334, 0.0, 0.31916666666666665, 1.1245555555555555, 1.1266666666666667]",10,M04369,"[1428, 0, 0, 1066, 0, 0, 873, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.251111111111111,False
can10,4431,"[0, 0, -3955, 0, 0, 0, 0, 0, 2861, 10121, -10138]","[0, 0, 0, 0, 0, 3839, 0, 0, 0, -10121, 10124]","[0, 0.0, 0.26505555555555554, 0.0, 0.0, 0.2586111111111111, 0.0, 0.0, 0.20427777777777775, 1.1245555555555555, 1.1264444444444446]",11,M04431,"[1109, 0, 0, 1173, 0, 0, 3479, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.740222222222222,False
can10,4057,"[0, 0, 0, 9351, 10121, -10110]","[0, -11689, 0, 0, -10121, 10136]","[0.0, 0.6947222222222222, 0.0, 0.5648333333333333, 1.1245555555555555, 1.1262222222222222]",6,M04057,"[1684, 0, 1302, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",6.496333333333333,False
can10,1833,"[0, 0, -5529, 0, 0, 0, 0, 4162, 10121, -10115]","[0, 0, 0, 0, -16014, 0, 0, 0, -10121, 10135]","[0, 0.0, 0.3525, 0.0, 0.935, 0.0, 0.0, 0.2765555555555555, 1.1245555555555555, 1.126111111111111]",10,M01833,"[1076, 0, 0, 256, 0, 3593, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.739777777777777,False
can10,4393,"[0, 0, -735, 0, 0, 0, 0, 1797, 10121, -10135]","[0, 0, 0, 0, 25057, 0, 0, 0, -10121, 10127]","[0, 0.0, 0.08166666666666667, 0.0, 1.4373888888888888, 0.0, 0.0, 0.14516666666666667, 1.1245555555555555, 1.126111111111111]",10,M04393,"[169, 0, 0, 1433, 0, 3218, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",8.735166666666666,False
