busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can11,7448,"[-291, 10121, -10121]","[3149, -10121, 10121]","[0.3498888888888889, 1.1245555555555555, 1.1245555555555555]",3,M07448,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.599,False
can11,6786,"[-1873, 10121, -10121]","[5583, -10121, 10121]","[0.6203333333333334, 1.1245555555555555, 1.1245555555555555]",3,M06786,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.8694444444444445,False
can11,6287,"[-4337, 10121, -10121]","[5475, -10121, 10121]","[0.6083333333333333, 1.1245555555555555, 1.1245555555555555]",3,M06287,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.857444444444444,False
can11,8200,"[0, 0, 2623, 10121, -10121]","[0, 0, -2638, -10121, 10121]","[0, 0.0, 0.2931111111111111, 1.1245555555555555, 1.1245555555555555]",5,M08200,"[2557, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.099555555555556,False
can11,6753,"[-5423, 10121, -10121]","[1604, -10121, 10121]","[0.6025555555555556, 1.1245555555555555, 1.1245555555555555]",3,M06753,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.8516666666666666,False
can11,6289,"[789, 10121, -10121]","[-1755, -10121, 10121]","[0.195, 1.1245555555555555, 1.1245555555555555]",3,M06289,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.444111111111111,False
can11,7434,"[0, 0, 432, 10121, -10121]","[0, 0, 1190, -10121, 10121]","[0, 0.0, 0.1322222222222222, 1.1245555555555555, 1.1245555555555555]",5,M07434,"[2720, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.100888888888889,False
can11,6752,"[-4357, 10121, -10121]","[-910, -10121, 10121]","[0.48411111111111116, 1.1245555555555555, 1.1245555555555555]",3,M06752,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.7332222222222224,False
can11,6598,"[-2968, 10121, -10121]","[2666, -10121, 10121]","[0.3297777777777778, 1.1245555555555555, 1.1245555555555555]",3,M06598,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.578888888888889,False
can11,6596,"[0, 0, 1280, 10121, -10121]","[0, 0, 260, -10121, 10121]","[0, 0.0, 0.14222222222222222, 1.1245555555555555, 1.1245555555555555]",5,M06596,"[2703, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.094222222222222,False
can11,8310,"[1843, 10121, -10121]","[1646, -10121, 10121]","[0.20477777777777778, 1.1245555555555555, 1.1245555555555555]",3,M08310,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.453888888888889,False
can11,6269,"[0, 0, -1090, 10121, -10121]","[0, 0, 1418, -10121, 10121]","[0, 0.0, 0.15755555555555556, 1.1245555555555555, 1.1245555555555555]",5,M06269,"[2411, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.817444444444444,False
can11,8225,"[2822, 10121, -10121]","[-4605, -10121, 10121]","[0.5116666666666667, 1.1245555555555555, 1.1245555555555555]",3,M08225,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.7607777777777778,False
can11,6597,"[-645, 10121, -10121]","[-919, -10121, 10121]","[0.10211111111111111, 1.1245555555555555, 1.1245555555555555]",3,M06597,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.351222222222222,False
can11,8308,"[-1020, 10121, -10121]","[2704, -10121, 10121]","[0.30044444444444446, 1.1245555555555555, 1.1245555555555555]",3,M08308,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5495555555555556,False
can11,8324,"[0, 0, -274, 10121, -10121]","[0, 0, -1924, -10121, 10121]","[0, 0.0, 0.2137777777777778, 1.1245555555555555, 1.1245555555555555]",5,M08324,"[2465, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.928333333333334,False
